Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,43581.36,47177.88,0,138,0,0,NA,NA,NA,NA,NA
2,1,2,43475.58,47177.88,6,138,105.78,105.78,NA,105.78,17.63,180,NA
3,1,3,43475.58,47177.88,12,131,105.78,105.78,NA,0,0,0,-180
4,1,4,43475.58,47177.88,18,129,105.78,105.78,NA,0,0,0,0
5,1,5,43475.58,47283.66,24,128,211.56,149.596,NA,105.78,17.63,90,90
6,1,6,43687.14,47283.66,30,118,423.12,149.596,NA,211.56,35.26,0,-90
7,1,7,43475.58,47072.1,36,118,722.311,149.596,NA,299.191,49.865,-135,-135
8,1,8,43581.36,47177.88,42,125,871.907,0,NA,149.596,24.933,45,180
9,1,9,43581.36,47072.1,48,114,977.687,105.78,NA,105.78,17.63,-90,-135
10,1,10,43581.36,47283.66,54,120,1189.247,105.78,NA,211.56,35.26,90,180
11,1,11,43475.58,47177.88,59,117,1338.842,105.78,NA,149.596,29.919,-135,135
12,2,1,42523.56,51832.2,0,136,0,0,NA,NA,NA,NA,NA
13,2,2,42417.78,51726.42,6,135,149.596,149.596,NA,149.596,24.933,-135,NA
14,2,3,42629.34,51726.42,12,138,361.156,149.596,NA,211.56,35.26,0,135
15,2,4,42523.56,51620.64,18,136,510.751,211.56,NA,149.596,24.933,-135,-135
16,2,5,42523.56,51726.42,24,139,616.531,105.78,NA,105.78,17.63,90,-135
17,2,6,42629.34,51726.42,30,142,722.311,149.596,NA,105.78,17.63,0,-90
18,2,7,42417.78,51726.42,36,137,933.871,149.596,NA,211.56,35.26,180,180
19,2,8,42629.34,51726.42,42,140,1145.431,149.596,NA,211.56,35.26,0,-180
20,2,9,42417.78,51832.2,48,143,1381.962,105.78,NA,236.531,39.422,153.435,153.435
21,2,10,42629.34,51620.64,54,138,1681.153,236.531,NA,299.191,49.865,-45,161.565
22,2,11,42523.56,51620.64,59,137,1786.933,211.56,NA,105.78,21.156,180,-135
23,3,1,47918.34,54794.04,0,150,0,0,NA,NA,NA,NA,NA
24,3,2,47812.56,54794.04,6,137,105.78,105.78,NA,105.78,17.63,180,NA
25,3,3,47812.56,54794.04,12,150,105.78,105.78,NA,0,0,0,-180
26,3,4,47706.78,54794.04,18,142,211.56,211.56,NA,105.78,17.63,180,180
27,3,5,47812.56,54794.04,24,149,317.34,105.78,NA,105.78,17.63,0,-180
28,3,6,47706.78,54794.04,30,144,423.12,211.56,NA,105.78,17.63,180,180
29,3,7,47706.78,54794.04,36,148,423.12,211.56,NA,0,0,0,-180
