Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,49187.7,51197.52,50803.249,607.827,26550.78,28031.7,27522.033,448.333,59,184,364,266.545,57.453,2928.467,0,2412.155,1893.885,730.506,NA,NA,NA,NA,0,1041.812,292.847,372.084,0,173.635,48.808,62.014,-135,104.036,13.931,64.44,-26.565,135,37.338,66.777
2,2,11,38503.92,40619.52,39888.676,787.979,16290.12,16713.24,16492.064,160.106,59,179,290,228.909,38.101,2814.318,0,2157.497,781.372,779.329,NA,NA,NA,NA,0,634.68,281.432,197,0,105.78,48.359,34.387,-165.964,180,37.253,132.118,-180,104.036,8.44,101.921
3,3,11,57755.88,59765.7,59044.473,517.821,13962.96,15549.66,14905.364,421.675,59,292,393,349.455,28.282,3132.465,0,2560.663,1602.221,652.366,NA,NA,NA,NA,0,1561.823,313.246,473.466,0,260.304,52.706,78.735,-90,135,27.886,59.6,-180,135,1.855,107.875
4,4,11,61775.52,62621.76,62304.42,327.747,13751.4,14068.74,13847.564,110.484,59,186,351,283.273,54.973,2114.748,0,770.09,478.038,282.55,NA,NA,NA,NA,105.78,539.374,211.475,157.815,17.63,89.896,35.598,26.063,-135,180,-5.213,104.612,-180,135,-70,104.78
5,5,11,62304.42,63044.88,62660.225,255.947,27820.14,29301.06,28425.971,613.325,59,192,371,296.818,56.148,2257.041,0,1495.955,699.886,582.704,NA,NA,NA,NA,0,805.596,225.704,300.172,0,134.266,38.406,50.122,-135,180,40.976,85.361,-180,135,-7.048,106.47
6,6,11,50774.4,52149.54,51514.86,458.651,34484.28,40090.62,37282.642,2282.184,59,178,417,333.091,83.239,6437.524,0,5655.027,2929.495,2279.388,NA,NA,NA,NA,0,1379.202,643.752,529.645,0,229.867,107.791,87.77,0,135,71.229,48.128,-135,135,7.952,82.751
7,7,11,61140.84,64208.46,63073.729,1132.479,38186.58,40090.62,38859.725,667.794,59,204,415,351.091,63.899,3878.153,0,3610.493,2293.461,1311.021,NA,NA,NA,NA,0,872.284,387.815,348.319,0,145.381,64.636,58.053,-90,180,-19.901,75.991,-180,75.964,-35.704,84.428
8,8,11,37128.78,37446.12,37273.025,97.785,28877.94,28983.72,28897.173,42.79,59,301,397,359.091,26.368,828.091,0,334.506,197.246,98.963,NA,NA,NA,NA,0,149.596,82.809,59.751,0,24.933,14.154,10.169,-135,180,18,108.582,-180,180,15,121.166
9,9,11,19780.86,21579.12,20357.842,508.104,76478.94,77854.08,77238.633,409.187,59,245,366,312.455,40.113,3092.229,0,1967.622,662.305,519.053,NA,NA,NA,NA,0,975.243,309.223,353.56,0,170.565,54.38,64.23,-49.399,180,31.773,83.992,-135,26.565,-58.305,60.729
10,10,11,17665.26,20627.1,19425.055,1064.415,94990.44,96048.24,95509.724,373.853,59,200,333,271.091,48.034,3665.18,0,3080.36,1300.277,1091.074,NA,NA,NA,NA,0,1003.517,366.518,356.011,0,167.253,61.585,59.018,-135,170.538,42.936,120.746,-180,161.565,35,110.53
