Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,78594.54,53736.24,0,340,0,0,NA,NA,NA,NA,NA
2,1,2,78594.54,53736.24,6,341,0,0,NA,0,0,0,NA
3,1,3,78594.54,53736.24,12,310,0,0,NA,0,0,0,0
4,1,4,78594.54,53736.24,18,312,0,0,NA,0,0,0,0
5,1,5,78594.54,53842.02,24,293,105.78,105.78,NA,105.78,17.63,90,90
6,1,6,78594.54,53842.02,30,239,105.78,105.78,NA,0,0,0,-90
7,1,7,78594.54,53736.24,36,238,211.56,0,NA,105.78,17.63,-90,-90
8,1,8,78594.54,53947.8,42,231,423.12,211.56,NA,211.56,35.26,90,180
9,1,9,78594.54,53947.8,48,209,423.12,211.56,NA,0,0,0,-90
10,1,10,78594.54,53947.8,54,216,423.12,211.56,NA,0,0,0,0
11,1,11,78594.54,53736.24,59,218,634.68,0,NA,211.56,42.312,-90,-90
12,2,1,88749.42,58602.12,0,348,0,0,NA,NA,NA,NA,NA
13,2,2,88537.86,58602.12,6,271,211.56,211.56,NA,211.56,35.26,180,NA
14,2,3,88537.86,58602.12,12,245,211.56,211.56,NA,0,0,0,-180
15,2,4,88537.86,58602.12,18,241,211.56,211.56,NA,0,0,0,0
16,2,5,88537.86,58390.56,24,217,423.12,299.191,NA,211.56,35.26,-90,-90
17,3,1,70766.82,38609.7,0,437,0,0,NA,NA,NA,NA,NA
18,3,2,70766.82,38715.48,6,425,105.78,105.78,NA,105.78,17.63,90,NA
19,3,3,70766.82,38715.48,12,388,105.78,105.78,NA,0,0,0,-90
20,3,4,70766.82,38715.48,18,377,105.78,105.78,NA,0,0,0,0
21,3,5,70766.82,38715.48,24,337,105.78,105.78,NA,0,0,0,0
22,3,6,70766.82,38715.48,30,318,105.78,105.78,NA,0,0,0,0
23,3,7,70766.82,38715.48,36,301,105.78,105.78,NA,0,0,0,0
24,3,8,70661.04,38715.48,42,255,211.56,149.596,NA,105.78,17.63,180,180
25,3,9,70766.82,38715.48,48,239,317.34,105.78,NA,105.78,17.63,0,-180
26,3,10,70766.82,38715.48,54,238,317.34,105.78,NA,0,0,0,0
27,3,11,70766.82,38715.48,59,233,317.34,105.78,NA,0,0,0,0
28,4,1,63679.56,39455.94,0,473,0,0,NA,NA,NA,NA,NA
29,4,2,63679.56,39455.94,6,437,0,0,NA,0,0,0,NA
30,4,3,63679.56,39455.94,12,389,0,0,NA,0,0,0,0
31,4,4,63785.34,39455.94,18,354,105.78,105.78,NA,105.78,17.63,0,0
32,4,5,63679.56,39455.94,24,303,211.56,0,NA,105.78,17.63,180,180
33,4,6,63679.56,39455.94,30,280,211.56,0,NA,0,0,0,-180
34,4,7,63679.56,39455.94,36,257,211.56,0,NA,0,0,0,0
35,4,8,63785.34,39455.94,42,233,317.34,105.78,NA,105.78,17.63,0,0
36,4,9,63891.12,39455.94,48,225,423.12,211.56,NA,105.78,17.63,0,0
37,4,10,63679.56,39244.38,54,214,722.311,211.56,NA,299.191,49.865,-135,-135
38,4,11,63785.34,39455.94,59,224,958.842,105.78,NA,236.531,47.306,63.435,-161.565
39,5,1,91393.92,38503.92,0,320,0,0,NA,NA,NA,NA,NA
40,5,2,91393.92,38503.92,6,339,0,0,NA,0,0,0,NA
41,5,3,91393.92,38503.92,12,329,0,0,NA,0,0,0,0
42,5,4,91393.92,38503.92,18,311,0,0,NA,0,0,0,0
43,5,5,91393.92,38503.92,24,334,0,0,NA,0,0,0,0
44,5,6,91393.92,38503.92,30,337,0,0,NA,0,0,0,0
45,5,7,91288.14,38503.92,36,337,105.78,105.78,NA,105.78,17.63,180,180
46,5,8,91393.92,38503.92,42,330,211.56,0,NA,105.78,17.63,0,-180
47,5,9,91393.92,38503.92,48,413,211.56,0,NA,0,0,0,0
48,5,10,91393.92,38503.92,54,402,211.56,0,NA,0,0,0,0
49,5,11,91393.92,38503.92,59,384,211.56,0,NA,0,0,0,0
50,6,1,65477.82,55640.28,0,251,0,0,NA,NA,NA,NA,NA
51,6,2,65372.04,55428.72,6,230,236.531,236.531,NA,236.531,39.422,-116.565,NA
52,6,3,65372.04,55640.28,12,231,448.091,105.78,NA,211.56,35.26,90,-153.435
53,6,4,65372.04,55534.5,18,231,553.871,149.596,NA,105.78,17.63,-90,-180
54,6,5,65372.04,55640.28,24,227,659.651,105.78,NA,105.78,17.63,90,180
55,6,6,65372.04,55640.28,30,215,659.651,105.78,NA,0,0,0,-90
56,6,7,65372.04,55640.28,36,219,659.651,105.78,NA,0,0,0,0
57,6,8,65477.82,55640.28,42,198,765.431,0,NA,105.78,17.63,0,0
58,6,9,65477.82,55534.5,48,194,871.211,105.78,NA,105.78,17.63,-90,-90
59,6,10,65372.04,55640.28,54,201,1020.807,105.78,NA,149.596,24.933,135,-135
60,6,11,65477.82,55534.5,59,205,1170.402,105.78,NA,149.596,29.919,-45,-180
61,7,1,24964.08,67910.76,0,377,0,0,NA,NA,NA,NA,NA
62,7,2,25069.86,67910.76,6,399,105.78,105.78,NA,105.78,17.63,0,NA
63,7,3,24964.08,67910.76,12,406,211.56,0,NA,105.78,17.63,180,180
64,7,4,24964.08,67910.76,18,398,211.56,0,NA,0,0,0,-180
65,7,5,24858.3,67910.76,24,404,317.34,105.78,NA,105.78,17.63,180,180
66,7,6,24858.3,67910.76,30,430,317.34,105.78,NA,0,0,0,-180
67,7,7,24858.3,68016.54,36,419,423.12,149.596,NA,105.78,17.63,90,90
68,7,8,24858.3,67910.76,42,398,528.9,105.78,NA,105.78,17.63,-90,-180
69,7,9,24858.3,67910.76,48,449,528.9,105.78,NA,0,0,0,90
70,7,10,24858.3,67910.76,54,434,528.9,105.78,NA,0,0,0,0
71,7,11,24858.3,67910.76,59,449,528.9,105.78,NA,0,0,0,0
72,8,1,32686.02,73940.22,0,360,0,0,NA,NA,NA,NA,NA
