Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,78594.54,78594.54,78594.54,0,53736.24,53947.8,53813.171,95.682,59,209,341,267.909,51.607,634.68,0,211.56,76.931,95.682,NA,NA,NA,NA,0,211.56,63.468,89.202,0,42.312,11.283,16.269,-90,90,0,60,-90,180,-10,94.868
2,2,5,88537.86,88749.42,88580.172,94.613,58390.56,58602.12,58559.808,94.613,24,217,348,264.4,50.505,423.12,0,299.191,186.774,111.091,NA,NA,NA,NA,0,211.56,105.78,122.144,0,35.26,17.63,20.357,-90,180,22.5,113.248,-180,0,-90,90
3,3,11,70661.04,70766.82,70757.204,31.894,38609.7,38715.48,38705.864,31.894,59,233,437,322.545,76.321,317.34,0,149.596,100.147,35.721,NA,NA,NA,NA,0,105.78,31.734,51.097,0,17.63,5.289,8.516,0,180,27,60.745,-180,180,-10,94.868
4,4,11,63679.56,63891.12,63727.642,72.729,39244.38,39455.94,39436.707,63.788,59,214,473,308.091,91.847,958.842,0,211.56,67.315,85.58,NA,NA,NA,NA,0,299.191,95.884,104.5,0,49.865,16.769,18.725,-135,180,10.843,77.081,-180,180,-32.952,111.443
5,5,11,91288.14,91393.92,91384.304,31.894,38503.92,38503.92,38503.92,0,59,311,413,348.727,34.334,211.56,0,105.78,9.616,31.894,NA,NA,NA,NA,0,105.78,21.156,44.601,0,17.63,3.526,7.433,0,180,18,56.921,-180,180,0,90
6,6,11,65372.04,65477.82,65410.505,53.369,55428.72,55640.28,55592.198,72.729,59,194,251,218.364,17.591,1170.402,0,236.531,102.417,64.242,NA,NA,NA,NA,0,236.531,117.04,76.91,0,39.422,20.005,13.146,-116.565,135,-2.657,85.743,-180,180,-72.048,116.431
7,7,11,24858.3,25069.86,24906.382,72.729,67910.76,68016.54,67920.376,31.894,59,377,449,414.818,23.224,528.9,0,149.596,80.914,53.56,NA,NA,NA,NA,0,105.78,52.89,55.751,0,17.63,8.815,9.292,-90,180,36,86.948,-180,180,0,149.248
8,8,11,32474.46,32686.02,32599.473,79.415,73728.66,73940.22,73901.755,71.317,59,194,360,239.273,51.315,1189.247,0,236.531,104.687,95.94,NA,NA,NA,NA,0,211.56,118.925,54.171,0,42.312,20.526,10.521,-135,180,22.5,112.75,-180,180,-30,145.817
9,9,8,41465.76,41465.76,41465.76,0,85787.58,85893.36,85800.803,37.399,42,237,386,322.25,50.953,105.78,0,105.78,92.557,37.399,NA,NA,NA,NA,0,105.78,15.111,39.981,0,17.63,2.519,6.664,-90,0,-12.857,34.017,0,90,15,36.742
10,10,11,24223.62,24435.18,24300.551,95.682,87903.18,88114.74,88066.658,72.729,59,198,337,249.182,53.051,1531.558,0,236.531,170.909,76.897,NA,NA,NA,NA,105.78,299.191,153.156,70.843,17.63,59.838,26.523,14.258,-135,180,15.343,104.423,-153.435,180,27.952,130.377
11,11,11,9414.42,9625.98,9481.735,71.317,86739.6,86951.16,86931.927,63.788,59,192,280,221.091,29.511,659.651,0,236.531,79.201,87.442,NA,NA,NA,NA,0,236.531,65.965,94.027,0,39.422,11.347,15.875,-90,180,15.343,68.451,-90,153.435,20,72.137
12,12,11,7193.04,7933.5,7433.449,195.57,94990.44,95202,95134.685,85.58,59,242,429,343.182,60.885,1653.808,0,747.978,507.695,196.786,NA,NA,NA,NA,105.78,334.506,165.381,83.116,17.63,55.751,27.916,13.615,-161.565,180,19.843,113.527,-180,180,-12.048,139.971
13,13,11,7616.16,7827.72,7721.94,105.78,58919.46,59025.24,58929.076,31.894,59,266,435,381.727,59.796,659.651,0,211.56,115.396,99.844,NA,NA,NA,NA,0,236.531,65.965,94.027,0,47.306,11.783,17.367,0,180,38.657,74.954,-180,180,-17.048,109.139
14,14,11,14491.86,14597.64,14568.791,49.41,60717.72,60929.28,60900.431,68.405,59,208,311,257.818,39.499,659.651,0,236.531,50.352,78.503,NA,NA,NA,NA,0,236.531,65.965,79.715,0,47.306,11.783,15.249,-116.565,180,6.343,82.855,-180,180,-2.952,121.865
15,15,11,34590.06,34801.62,34618.909,68.405,38821.26,39032.82,38965.505,97.785,59,204,466,291.636,90.389,1269.36,0,211.56,96.164,99.844,NA,NA,NA,NA,0,211.56,126.936,83.44,0,42.312,21.861,14.848,-90,180,36,96.747,-180,180,-10,152.233
16,16,11,40407.96,40407.96,40407.96,0,19992.42,20203.98,20059.735,71.317,59,299,365,331.273,22.321,317.34,0,211.56,67.315,71.317,NA,NA,NA,NA,0,105.78,31.734,51.097,0,21.156,5.642,9.134,-90,90,9,51.088,-180,90,-10,83.516
17,17,11,62092.86,62410.2,62121.709,95.682,29724.18,30147.3,30051.136,120.185,59,286,430,389.636,39.325,766.127,0,528.9,437.12,150.195,NA,NA,NA,NA,0,448.787,76.613,139.953,0,74.798,12.769,23.326,-90,135,22.5,64.517,-180,90,-15,100.623
18,18,11,15126.54,15338.1,15280.402,72.729,37763.46,37869.24,37850.007,42.79,59,282,497,389,78.261,528.9,0,236.531,114.367,68.076,NA,NA,NA,NA,0,211.56,52.89,74.798,0,35.26,8.815,12.466,0,180,45,76.485,-180,180,0,135
19,19,11,6135.24,6241.02,6144.856,31.894,33849.6,34061.16,33945.764,99.844,59,234,456,299.273,72.46,1057.8,0,211.56,105.78,94.613,NA,NA,NA,NA,0,211.56,105.78,70.52,0,35.26,17.63,11.753,-90,180,36,86.948,-180,180,-10,138.293
20,20,11,29406.84,29618.4,29599.167,63.788,37340.34,37551.9,37446.12,94.613,59,205,329,260.636,40.572,952.02,0,299.191,113.746,107.255,NA,NA,NA,NA,0,211.56,95.202,78.051,0,35.26,16.22,13.109,-90,180,27,85.381,-180,180,-10,122.78
