Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,76373.16,85152.9,81133.26,3274.399,23694.72,40936.86,29416.456,6232.849,59,120,156,133.364,10.764,26572.703,0,17247.331,7625.257,5987.624,NA,NA,NA,NA,423.12,5095.039,2657.27,1356.705,70.52,849.173,454.123,235.321,-176.186,172.875,72.183,99.028,-57.983,82.875,-4.576,43.072
2,2,11,66747.18,85576.02,74959.555,7048.834,24964.08,27925.92,26935.435,1054.911,59,118,152,136.545,11.076,21108.733,0,18830.029,10857.425,6779.978,NA,NA,NA,NA,317.34,3964.987,2110.873,1301.21,63.468,660.831,352.87,215.268,-170.789,180,72.453,151.584,-68.106,45.401,-6.096,36.161
3,3,11,90336.12,99644.76,97173.355,2917.409,46120.08,49505.04,48206.831,1010.286,59,124,146,135.727,6.958,13255.178,0,9394.789,3531.621,2705.731,NA,NA,NA,NA,0,3547.969,1325.518,1175.68,0,709.594,232.746,222.55,-163.61,175.236,13.481,128.918,-165.964,124.695,9.511,82.674
4,4,11,56909.64,60929.28,58294.396,1382.002,53313.12,58496.34,55457.569,2237.986,59,124,162,146.455,13.931,11688.031,0,5445.359,2553.693,2473.091,NA,NA,NA,NA,0,2904.619,1168.803,1183.766,0,484.103,200.805,201.724,-90,180,35.852,88.962,-180,129.272,-24.471,109.853
5,5,11,97740.72,110645.88,103750.947,4376.741,51832.2,57544.32,54015.115,1758.796,59,121,155,135.273,11.118,19455.591,0,13907.154,7867.434,4489.764,NA,NA,NA,NA,528.9,3411.302,1945.559,903.205,88.15,568.55,327.293,146.932,-177.51,150.255,-82.774,121.864,-159.55,80.72,0.997,73.272
6,6,11,92240.16,101231.46,97365.682,2764.63,51726.42,56380.74,53918.951,1848.029,59,128,160,142.091,11.068,14631.479,0,9764.474,4728.748,3092.949,NA,NA,NA,NA,957.879,2752.313,1463.148,541.399,159.646,458.719,248.373,90.357,-177.797,180,-67.729,130.084,-140.928,86.035,-4.296,67.943
7,7,11,86422.26,98692.74,93144.098,4461.45,8779.74,28454.82,20069.351,6232.425,59,116,149,131.273,8.603,24405.193,0,23187.787,12669.515,7499.759,NA,NA,NA,NA,1525.581,4107.752,2440.519,925.526,293.422,684.625,411.838,149.431,83.29,147.265,122.97,19.952,-27.747,54,2.422,26.785
8,8,11,63785.34,77959.86,68506.975,4201.816,11424.24,30358.86,21396.409,5930.116,59,117,171,137.455,17.952,27577.473,0,21436.05,13271.237,6762.697,NA,NA,NA,NA,149.596,5787.046,2757.747,1982.491,24.933,964.508,465.132,327.449,-171.254,45,-100.162,64.923,-177.709,38.112,-28.756,78.429
9,9,7,2327.16,15232.32,10517.554,4628.145,21896.46,29618.4,25417.423,2943.976,36,119,173,146.571,19.501,15963.202,0,15039,6394.93,5375.794,NA,NA,NA,NA,805.596,4357.571,2660.534,1378.707,134.266,726.262,443.422,229.784,-174.428,-113.199,-140.264,22.774,-28.383,14.37,-9.635,16.505
10,10,11,37657.68,39561.72,38696.247,601.772,26127.66,43052.46,36657.578,6404.953,59,121,168,134.182,16.005,17736.473,0,16926.122,10592.021,6357.122,NA,NA,NA,NA,105.78,4876.217,1773.647,1595.907,17.63,812.703,299.406,264.575,-90,113.629,67.589,58.952,-13.621,168.69,34.952,68.399
