Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,84412.44,86633.82,85364.46,744.98,60400.38,61246.62,60881.198,328.986,59,288,372,317.636,26.609,3097.939,0,2310.27,1021.601,765.718,NA,NA,NA,NA,0,539.374,309.794,169.942,0,89.896,52.421,28.054,-90,36.87,-27.691,48.359,-90,126.87,12.952,67.03
2,2,11,84412.44,84941.34,84758.629,142.634,62198.64,64102.68,63025.647,639.629,59,296,388,355.545,30.111,2451.033,0,1930.304,1148.242,622.09,NA,NA,NA,NA,0,473.063,245.103,137.967,0,78.844,41.349,22.663,-116.565,45,-55.843,55.724,-63.435,153.435,12.048,82.276
3,3,11,27925.92,29935.74,29464.538,649.258,21050.22,24012.06,21877.227,1079.597,59,328,648,498.545,119.162,4242.834,0,3521.06,2647.633,1222.069,NA,NA,NA,NA,0,1124.457,424.283,440.565,0,187.409,70.714,73.428,-101.31,180,-22.659,82.018,-180,180,4.576,102.416
4,4,11,24540.96,26656.56,25771.855,548.166,26656.56,27185.46,26954.667,140.478,59,279,551,381.727,65.899,2711.14,0,2180.711,1266.972,564.665,NA,NA,NA,NA,105.78,770.09,271.114,203.504,17.63,128.348,46.639,35.502,-135,180,16.498,75.59,-161.565,180,-0.212,110.202
5,5,11,56169.18,58179,57284.678,773.517,37340.34,38292.36,37811.542,307.904,59,309,420,350.182,33.823,2986.902,0,2053.876,948.373,814.447,NA,NA,NA,NA,0,634.68,298.69,231.934,0,105.78,50.134,38.345,-165.964,180,28.189,134.956,-123.69,158.199,20,93.725
6,6,11,56380.74,58707.9,57323.144,844.194,31310.88,32051.34,31810.931,201.21,59,274,387,324.273,41.728,2841.256,0,2442.121,991.8,843.581,NA,NA,NA,NA,105.78,643.435,284.126,168.563,17.63,107.239,48.626,29.176,-90,90,-15.95,48.177,-99.462,116.565,3.743,63.251
7,7,11,75632.7,77748.3,77055.922,699.051,52255.32,52890,52476.496,224.166,59,318,414,362.727,33.29,2272.483,0,2180.711,728.4,732.418,NA,NA,NA,NA,0,569.643,227.248,189.381,0,94.94,39.329,33.614,-165.964,180,96.38,114.724,-180,180,21.56,101.399
8,8,12,71189.94,75950.04,72609.155,1722.54,54476.7,55746.06,55199.53,470.547,59,244,392,320.083,48.73,6716.873,0,4834.736,3388.33,1737.709,NA,NA,NA,NA,211.56,1206.078,610.625,335.256,39.422,334.506,129.356,85.931,-165.964,180,60.114,130.927,-32.471,165.964,63,86.104
9,9,11,83883.54,85047.12,84258.578,399.629,43898.7,47177.88,45389.236,1102.809,59,275,383,328.727,34.36,3557.063,0,3479.503,1958.898,1165.346,NA,NA,NA,NA,105.78,616.798,355.706,153.381,17.63,102.8,59.99,24.916,-123.69,-90,-107.242,13.466,-14.036,26.565,2.952,12.05
10,10,11,66006.72,66641.4,66141.349,206.696,51726.42,52255.32,52130.307,140.478,59,261,388,337.909,45.507,915.027,0,762.79,648.227,233.95,NA,NA,NA,NA,0,528.9,91.503,174.59,0,88.15,15.25,29.098,-135,153.435,14.53,78.706,-153.435,153.435,-14.097,110.591
11,11,11,89172.54,90653.46,89826.453,577.094,43369.8,43687.14,43514.045,118.48,59,250,355,317.273,32.766,1976.85,0,1495.955,834.315,579.093,NA,NA,NA,NA,0,643.435,197.685,234.087,0,107.239,32.947,39.014,-170.538,180,22.315,119.491,-180,180,0,137.394
12,12,11,100385.22,103558.62,101798.825,1083.171,39667.5,42523.56,41417.678,1175.409,59,231,392,304.727,51.165,5728.416,0,3554.271,1997.07,1330.99,NA,NA,NA,NA,236.531,1423.124,572.842,371.041,39.422,237.187,96.262,61.092,-63.435,153.435,54.347,74.117,-71.732,52.125,-24.097,42.918
13,13,11,120377.64,125349.3,123810.682,1697.341,35542.08,36388.32,35974.816,273.619,59,215,377,309.182,41.131,6081.056,0,4972.785,3445.218,1695.252,NA,NA,NA,NA,105.78,1163.58,608.106,393.454,21.156,193.93,101.704,65.083,-108.435,180,9.769,72.794,-135,180,20,93.122
14,14,11,121223.88,121858.56,121454.673,169.368,64948.92,68439.66,66718.331,1055.779,59,248,334,301.727,31.033,3968.631,0,3497.145,1730.551,1056.681,NA,NA,NA,NA,105.78,747.978,396.863,249.928,17.63,149.596,68.637,46.06,-146.31,180,-73.537,93.484,-87.274,90,0.903,55.134
15,15,11,115511.76,116992.68,116175.289,507.504,61352.4,63256.44,62131.325,695.696,59,277,344,319.182,22.333,2642.946,0,2412.155,1392.667,857.607,NA,NA,NA,NA,105.78,669.011,264.295,191.749,17.63,111.502,44.402,31.652,-161.565,180,-90.713,98.638,-53.13,71.565,-6.257,51.162
16,16,11,110011.2,111069,110309.307,316.698,60929.28,63362.22,62333.269,838.39,59,226,352,284.727,43.334,3273.157,0,2489.766,1112.25,815.838,NA,NA,NA,NA,105.78,747.978,327.316,200.247,17.63,149.596,57.046,39.553,-108.435,180,-57.211,88.093,-23.199,90,15,39.723
