Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,52149.54,13010.94,0,346,0,0,NA,NA,NA,NA,NA
2,1,2,52149.54,12799.38,6,435,211.56,211.56,NA,211.56,35.26,-90,NA
3,1,3,52466.88,12693.6,12,444,546.066,448.787,NA,334.506,55.751,-18.435,71.565
4,1,4,52678.44,12587.82,18,470,782.597,677.322,NA,236.531,39.422,-26.565,-8.13
5,1,5,53101.56,12587.82,24,416,1205.717,1041.812,NA,423.12,70.52,0,26.565
6,1,6,53947.8,12164.7,30,442,2151.842,1987.426,NA,946.125,157.688,-26.565,-26.565
7,1,7,54794.04,11953.14,36,364,3024.126,2848.214,NA,872.284,145.381,-14.036,12.529
8,1,8,55851.84,12270.48,42,397,4128.502,3775.62,NA,1104.376,184.063,16.699,30.735
9,1,9,56486.52,12376.26,48,417,4771.937,4383.174,NA,643.435,107.239,9.462,-7.237
10,1,10,56274.96,12482.04,53,387,5008.468,4159.186,NA,236.531,47.306,153.435,143.973
11,2,1,52572.66,13857.18,0,357,0,0,NA,NA,NA,NA,NA
12,2,2,52890,13962.96,6,417,334.506,334.506,NA,334.506,55.751,18.435,NA
13,2,3,53207.34,13962.96,12,332,651.846,643.435,NA,317.34,52.89,0,-18.435
14,2,4,53313.12,14280.3,18,380,986.351,852.826,NA,334.506,55.751,71.565,71.565
15,2,5,54476.7,14491.86,24,288,2169.008,2007.034,NA,1182.656,197.109,10.305,-61.26
16,2,6,54794.04,15232.32,30,303,2974.604,2612.573,NA,805.596,134.266,66.801,56.497
17,2,7,55005.6,15232.32,36,329,3186.164,2794.675,NA,211.56,35.26,0,-66.801
18,2,8,56274.96,15126.54,42,360,4459.924,3913.86,NA,1273.76,212.293,-4.764,-4.764
19,2,9,56698.08,15443.88,48,314,4988.824,4420.035,NA,528.9,88.15,36.87,41.634
20,2,10,56592.3,15655.44,53,371,5225.355,4403.549,NA,236.531,47.306,116.565,79.695
21,3,1,56486.52,15549.66,0,269,0,0,NA,NA,NA,NA,NA
22,3,2,56486.52,15549.66,6,303,0,0,NA,0,0,0,NA
23,3,3,56698.08,15655.44,12,231,236.531,236.531,NA,236.531,39.422,26.565,26.565
24,3,4,56063.4,16501.68,18,316,1294.331,1041.812,NA,1057.8,176.3,126.87,100.305
25,3,5,56592.3,16819.02,24,298,1911.129,1273.76,NA,616.798,102.8,30.964,-95.906
26,3,6,56063.4,17559.48,30,291,2821.083,2053.876,NA,909.954,151.659,125.538,94.574
27,3,7,56380.74,17665.26,36,254,3155.589,2118.243,NA,334.506,55.751,18.435,-107.103
28,3,8,56486.52,17876.82,42,374,3392.12,2327.16,NA,236.531,39.422,63.435,45
29,3,9,56909.64,18299.94,48,288,3990.502,2782.637,NA,598.382,99.73,45,-18.435
30,3,10,57650.1,18511.5,53,246,4760.592,3182.203,NA,770.09,154.018,15.945,-29.055
