Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,50457.06,45485.4,0,318,0,0,NA,NA,NA,NA,NA
2,1,2,50457.06,45485.4,6,293,0,0,NA,0,0,0,NA
3,1,3,50245.5,45379.62,12,330,236.531,236.531,NA,236.531,39.422,-153.435,-153.435
4,1,4,50245.5,45379.62,18,324,236.531,236.531,NA,0,0,0,153.435
5,1,5,50245.5,45379.62,24,306,236.531,236.531,NA,0,0,0,0
6,1,6,50245.5,45379.62,29,307,236.531,236.531,NA,0,0,0,0
7,2,1,59554.14,50880.18,0,304,0,0,NA,NA,NA,NA,NA
8,2,2,59554.14,50880.18,6,254,0,0,NA,0,0,0,NA
9,2,3,59554.14,50880.18,12,259,0,0,NA,0,0,0,0
10,2,4,59554.14,50985.96,18,247,105.78,105.78,NA,105.78,17.63,90,90
11,2,5,59554.14,50880.18,24,236,211.56,0,NA,105.78,17.63,-90,-180
12,2,6,59659.92,50880.18,29,216,317.34,105.78,NA,105.78,21.156,0,90
13,3,1,52890,60506.16,0,341,0,0,NA,NA,NA,NA,NA
14,3,2,52784.22,60506.16,6,317,105.78,105.78,NA,105.78,17.63,180,NA
15,3,3,52784.22,60506.16,12,280,105.78,105.78,NA,0,0,0,-180
16,3,4,52784.22,60400.38,18,290,211.56,149.596,NA,105.78,17.63,-90,-90
17,3,5,52784.22,60506.16,24,280,317.34,105.78,NA,105.78,17.63,90,180
18,3,6,52784.22,60506.16,29,278,317.34,105.78,NA,0,0,0,-90
19,4,1,50245.5,57544.32,0,364,0,0,NA,NA,NA,NA,NA
20,4,2,50245.5,57438.54,6,333,105.78,105.78,NA,105.78,17.63,-90,NA
21,4,3,50245.5,57544.32,12,314,211.56,0,NA,105.78,17.63,90,180
22,4,4,50351.28,57438.54,18,265,361.156,149.596,NA,149.596,24.933,-45,-135
23,4,5,50351.28,57650.1,24,238,572.716,149.596,NA,211.56,35.26,90,135
24,4,6,50351.28,57544.32,29,230,678.496,105.78,NA,105.78,21.156,-90,-180
25,5,1,68333.88,62410.2,0,370,0,0,NA,NA,NA,NA,NA
26,5,2,68122.32,62410.2,6,375,211.56,211.56,NA,211.56,35.26,180,NA
27,5,3,68122.32,62410.2,12,378,211.56,211.56,NA,0,0,0,-180
28,5,4,68122.32,62410.2,18,361,211.56,211.56,NA,0,0,0,0
29,5,5,68122.32,62515.98,24,333,317.34,236.531,NA,105.78,17.63,90,90
30,5,6,68122.32,62515.98,29,323,317.34,236.531,NA,0,0,0,-90
31,6,1,79123.44,54899.82,0,322,0,0,NA,NA,NA,NA,NA
32,6,2,79017.66,54899.82,6,279,105.78,105.78,NA,105.78,17.63,180,NA
33,6,3,78911.88,54899.82,12,289,211.56,211.56,NA,105.78,17.63,180,0
34,6,4,79017.66,54899.82,18,259,317.34,105.78,NA,105.78,17.63,0,-180
35,6,5,78911.88,54899.82,24,278,423.12,211.56,NA,105.78,17.63,180,180
36,6,6,78911.88,54899.82,29,277,423.12,211.56,NA,0,0,0,-180
37,7,1,82931.52,36388.32,0,280,0,0,NA,NA,NA,NA,NA
38,7,2,82931.52,36494.1,6,269,105.78,105.78,NA,105.78,17.63,90,NA
39,7,3,82931.52,36388.32,12,251,211.56,0,NA,105.78,17.63,-90,-180
40,7,4,82931.52,36494.1,18,226,317.34,105.78,NA,105.78,17.63,90,180
41,7,5,82931.52,36282.54,24,229,528.9,105.78,NA,211.56,35.26,-90,-180
42,7,6,82931.52,36494.1,29,226,740.46,105.78,NA,211.56,42.312,90,180
43,8,1,80710.14,71295.72,0,340,0,0,NA,NA,NA,NA,NA
44,8,2,80710.14,71295.72,6,333,0,0,NA,0,0,0,NA
45,8,3,80710.14,71295.72,12,317,0,0,NA,0,0,0,0
46,8,4,80710.14,71189.94,18,296,105.78,105.78,NA,105.78,17.63,-90,-90
47,8,5,80710.14,71295.72,24,281,211.56,0,NA,105.78,17.63,90,180
48,8,6,80710.14,71189.94,29,252,317.34,105.78,NA,105.78,21.156,-90,-180
49,9,1,56698.08,74786.46,0,315,0,0,NA,NA,NA,NA,NA
50,9,2,56698.08,74786.46,6,283,0,0,NA,0,0,0,NA
51,9,3,56592.3,74786.46,12,293,105.78,105.78,NA,105.78,17.63,180,180
52,9,4,56592.3,74786.46,18,243,105.78,105.78,NA,0,0,0,-180
53,9,5,56592.3,74786.46,24,231,105.78,105.78,NA,0,0,0,0
54,9,6,56592.3,74680.68,29,270,211.56,149.596,NA,105.78,21.156,-90,-90
55,10,1,44956.5,72988.2,0,361,0,0,NA,NA,NA,NA,NA
56,10,2,44956.5,72988.2,6,327,0,0,NA,0,0,0,NA
57,10,3,44956.5,72988.2,12,339,0,0,NA,0,0,0,0
58,10,4,44956.5,72988.2,18,292,0,0,NA,0,0,0,0
59,10,5,44956.5,72882.42,24,284,105.78,105.78,NA,105.78,17.63,-90,-90
60,10,6,44956.5,72988.2,29,260,211.56,0,NA,105.78,21.156,90,180
61,11,1,47177.88,68651.22,0,239,0,0,NA,NA,NA,NA,NA
62,11,2,47177.88,68757,6,225,105.78,105.78,NA,105.78,17.63,90,NA
63,11,3,47177.88,68651.22,12,212,211.56,0,NA,105.78,17.63,-90,-180
64,11,4,47177.88,68757,18,214,317.34,105.78,NA,105.78,17.63,90,180
65,11,5,47177.88,68545.44,24,202,528.9,105.78,NA,211.56,35.26,-90,-180
66,11,6,47389.44,68651.22,29,202,765.431,211.56,NA,236.531,47.306,26.565,116.565
67,12,1,39455.94,69920.58,0,348,0,0,NA,NA,NA,NA,NA
68,12,2,39455.94,69920.58,6,359,0,0,NA,0,0,0,NA
69,12,3,39561.72,69814.8,12,374,149.596,149.596,NA,149.596,24.933,-45,-45
70,12,4,39773.28,69814.8,18,296,361.156,334.506,NA,211.56,35.26,0,45
71,13,1,29195.28,69920.58,0,219,0,0,NA,NA,NA,NA,NA
72,13,2,28877.94,69920.58,6,309,317.34,317.34,NA,317.34,52.89,180,NA
73,13,3,28877.94,69920.58,12,277,317.34,317.34,NA,0,0,0,-180
74,13,4,28877.94,69920.58,18,255,317.34,317.34,NA,0,0,0,0
75,13,5,28877.94,69920.58,24,252,317.34,317.34,NA,0,0,0,0
76,13,6,28877.94,69920.58,29,265,317.34,317.34,NA,0,0,0,0
77,14,1,61352.4,80075.46,0,363,0,0,NA,NA,NA,NA,NA
78,14,2,61352.4,80181.24,6,356,105.78,105.78,NA,105.78,17.63,90,NA
79,14,3,61035.06,80181.24,12,348,423.12,334.506,NA,317.34,52.89,180,90
80,14,4,61035.06,80181.24,18,325,423.12,334.506,NA,0,0,0,-180
81,14,5,60929.28,80181.24,24,316,528.9,436.142,NA,105.78,17.63,180,180
82,14,6,60929.28,80181.24,29,319,528.9,436.142,NA,0,0,0,-180
